*** START OF AKTAHEADER ***
Başlık: All About Dogs
Yazar: Charles Henry Lane
Yayın Tarihi: April 14, 2014 [EBook #45377]
Dil: English
Link: https://www.gutenberg.org/ebooks/45377
Çeviri: Python-deep_translator-GoogleTranslator
*** END OF AKTAHEADER ***
The Project Gutenberg EBook of All About Dogs, by Charles Henry Lane

This eBook is for the use of anyone anywhere at no cost and with
almost no restrictions whatsoever.  You may copy it, give it away or
re-use it under the terms of the Project Gutenberg License included
with this eBook or online at www.gutenberg.org/license


Title: All About Dogs
       A Book for Doggy People

Author: Charles Henry Lane

Illustrator: R. H. Moore

Release Date: April 14, 2014 [EBook #45377]

Language: English

Character set encoding: ASCII

*** START OF THIS PROJECT GUTENBERG EBOOK ALL ABOUT DOGS ***

*** START OF TURKISH PART ***
Chris Curnow, monkeyclogs ve http://www.pgdp.net adresindeki Çevrimiçi
Dağıtılmış Düzeltme Ekibi tarafından üretilmiştir (Bu
dosya The Internet Archive tarafından cömertçe sağlanan
resimlerden üretilmiştir)

KÖPEKLER HAKKINDA HER ŞEY
_Köpek İnsanları İçin Bir Kitap_

TARAFINDAN
CHARLES HENRY LANE
_Yetiştirici, Sergi Sahibi, Jüri_

[İllüstrasyon: _Pellissier & Allen, Ph. Sc._
Chas. H. Lane]

KÖPEKLER HAKKINDA HER ŞEY

KÖPEK İNSANLARI İÇİN BİR KİTAP
CHARLES HENRY LANE'DEN

Yetiştirici, Sergi Sahibi, Jüri

ZAMANIMIZIN EN ÜNLÜ ŞAMPİYONLARININ SEKSEN YEDİ RESMİYLE
YAŞAMDAN ÇİZİLMİŞ

R. H. MOORE'DAN

[Resim: Çeşitli köpekler.]

JOHN LANE
LONDRA VE NEW YORK
1901

Telif Hakkı
JOHN LANE'e aittir
1900

RIGGS PRINTING CO.
ALBANY, N.Y., ABD

_Dünyanın dört bir yanındaki Köpek severlere ve hayranlarına,
BU KÜÇÜK KİTAP
Yazar tarafından saygıyla ithaf edilmiştir, en sadık, bağlı ve güvenilir
DOST
İnsan Irkının._

İLLÜSTRASYONLAR

ÖN RESİM. YAZARIN FOTOGRAVÜRÜ.

------------------+-----------------------+---------------------+-----------------
ÇEŞİT. | HAYVAN ADI. | SAHİBİN ADI. | Sayfa.
kulaklar uzun ve geniş, yüze yakın sarkıyor; iyi orantılı boyun
orta uzunlukta ve güçte; güçlü kaslı omuzlar, sırta doğru iyi eğimli; derin ve orta genişlikte göğüs; kısa, güçlü, hafif kavisli
sırt; geniş kaslı bel; kaburgalar iyi yaylanmış ve desteklenmiş; küçük yuvarlak
ayaklar, ayak parmakları iyi kemerli, pedler kalın ve sert; iyi yerleşmiş, düz bacaklar, bol kemik ve kas; arka bacaklar çok kaslı ve iyi bükülmüş,
dizler iyi indirilmiş; kuyruk sırta doğru kıvrılmamış, oldukça neşeli bir şekilde taşınıyor
ve yüksekte; kürk bol ve iyi dokulu, ipeksi değil; eğer kordonluysa,
sıkı, eşit kordonlarda sarkıyor; eğer kıvrılmışsa, güçlü, kalın bukleler halinde, eşit
uzunlukta, düğüm veya kordon olmadan. Renkler kendi kendine olmalı, beyazlar ve
siyahlar en popüler olanlar gibi görünüyor. Genel görünüm,
çok aktif, zeki ve zarif görünümlü, iyi yürüyen ve
kendini gururla taşıyan bir köpektir.

[İllüstrasyon: BEYAZ POMERANYA CH. "KOeNIG of ROZELLE" MISS HAMILTON
SAHİBİ.]

_Pomeranyalılar._--Son yıllarda halkın gözünde devasa ilerlemeler kaydeden bir diğer tür ise, en iyi şekilde,
Kaba tüylü Collie'nin minyatür bir kopyası olarak tanımlanabilecek olan Pomeranyalılardır, çünkü neredeyse her bakımdan ona benzer, ancak kulak ve kuyruk taşıma şekli hariç, ilki dik ve dik taşınırken, ikincisi vücudun yan ve arka tarafına doğru kıvrılmıştır. Renkler çok çeşitlidir, beyaz, siyah, kahverengi, mavi ile başlar, bu renklerin hemen hemen her tonu, parti renklerinin yanı sıra, bulunabilir ve boyutlar yaklaşık otuz pounddan üç pounda kadar değişir. Diğer şeyler eşit olduğunda, boyut ne kadar küçükse, o kadar değerlidirler ve yüksek sınıf örnekler sıklıkla 10 ila 200 TL arasında değişen fiyatlarda el değiştirir, bu nedenle son zamanlarda üretilmesi en karlı türlerden biri olmuştur, çünkü iyi örnekler adil fiyatlara sahiptir ve neredeyse her fiyattan olağandışı her şey için bol miktarda alıcı bulunur. Kahverengiler büyük ölçüde tercih edilir, son zamanlarda siyahlardan bile daha fazla tercih edilir ve ardından beyazlar gelir, ancak şimdiye kadar çok küçük beyazlar elde etmekte zorluk yaşanmıştır ve bu aşılırsa (ve önde gelen yetiştiricilerin çoğu ellerinden gelenin en iyisini yapıyor), oyuncak beyazların çok aranacağını düşünüyorum; bazı küçük siyahlar ve kahverengiler çok güzeldir ve sahipleri tarafından 100 TL ve üzeri çok uzun figürlerin reddedildiğini gördüm! Çok canlı, neşeli ve sevecen ve
son derece keskin ve aktif korumalar olan bu cins, evcil hayvan veya arkadaş olarak takdire şayan bir şekilde
uyarlanmıştır ve çok keskin ev köpekleri olurlar. Tasma ve zincirin sürtünmesi, bu cinste (Collie'lerde olduğu gibi)
görünüşlerinde bu kadar çekici özellikler oluşturan
tepe ve fırfırın setine kesinlikle müdahale edeceğinden, onları zincirlemek
istenmez. Pomeranian'lar, Kraliyet ailesinden aşağıya doğru tüm sınıflar arasında görünüşe göre popülerdir. Majesteleri Kraliçe'nin Windsor'da bunlardan oluşan büyük bir kulübesi vardır ve ben de incelemeye davet edilme şerefine eriştim ve bu cinse gösterilen büyük ilgiye ve onların mutluluğu ve rahatı için gösterilen her türlü özen ve dikkat ile tutulan örnek sayısına tanıklık edebilirim. Majestelerinin koleksiyonunu, bir ara gördüğümde, neredeyse tamamen "renksiz" demem gereken şeylerden oluşuyordu, yani beyaz, siyah, kahverengi veya mavi değil, bunların ve diğer renklerin tonları ve karışımları, bazıları aşırı derecede güzel ve biraz daha büyük olsa da, çoğunlukla "küçük-orta" ve şu anda gösterilen köpeklerin çoğu kadar iyi kafalı değillerdi, diğer açılardan o kadar iyilerdi ki, Majesteleri Kraliyet Tarım Salonu ve Kristal Saray Gösterilerine katıldığında, genellikle iyi bilinen örneklerle başarılı bir şekilde yarıştılar. Birçoğu, hem bu ülkede hem de Avrupa kıtasında (kuşkusuz, cinsin kökeni burada) yaşamın daha yüksek, orta ve daha düşük seviyelerinde olan kişiler tarafından da tutuluyor ve popüler bir jüri daha büyük gösterilerden birinde görev yaptığında, çeşitli sınıflarda elliden fazla Pomeranian'ın katılımını görmek yaygın bir olaydır. Daha büyük gösterilerde sıklıkla yüz, hatta bazen daha fazla sayıda katılımcıyı değerlendirdim ve sıkıcı bir günde, loş bir ışıkta, yirmi ila yirmi beş siyah örnekten oluşan bir sınıfla uğraşmak ve her birinin ilgili değerlerini bulmaya çalışmak, ancak bir yabancıya göre hepsi birbirine çok benziyor. Küçük, iyi örnekler çok yüksek fiyatlara satılıyor ve bu tür aşırı derecede popüler.

[İllüstrasyon: POMERANIAN "MARCO" H. M. QUEEN VICTORIA SAHİBİ.]

Bu çeşidin çizimleri, şimdiye kadar gösterilen renginin en başarılı kazananı olan Bayan Hamilton'ın Beyaz Köpeği, renginin güzel bir örneği ve Majestelerinin sürekli arkadaşı olan Kraliçe'nin Kırmızı Köpeği; Bay J. Duckworth'un Fawn Köpeği, bir süredir gösterilen en iyi kafalı ve tüylü örneklerden biri; Bayan A. de Pass'ın Toy
Brown'ı, en mükemmel ve çekici örnek, kendi boyutunda ve renginde olanlardan
daha fazla ödül almış.

[İllüstrasyon: FAWN POMERANIAN CH. "BRILLIANT" J. DUCKWORTH SAHİBİ.]

Puanlar şu şekildedir: Genel yapı ve özellikle tüy olarak,
Pomeranian'lar,
başının daha kısa, kulaklarının daha küçük ve mükemmel şekilde dik olması farkıyla,
Pürüzlü tüylü Collie'ye benzemelidir; ve kuyruğu kökten sıkıca sırtına doğru kıvrılmış veya sırt üstü düz yatmalıdır. Kompakt, küçük bir köpek olmalı, yapısı orantılı, dik bacaklar üzerinde durmalı ve tüm vücudunda uzun ve mükemmel düz ipeksi veya parlak tüylerden oluşan bol bir
kat, boynunun etrafında daha uzun tüylerden oluşan bir yele, ön ayakları tüylü ve uylukları daha yoğun tüylü olmalıdır. İfadesinde keskin ve zeki olmalı, büyük bir aktivite ve mizaç canlılığı sergilemeli ve ağırlığı yirmi poundu geçmemelidir, daha küçük örnekler tercih edilir. Daha büyük gösterilerde genellikle sekiz poundun üzerinde ve sekiz poundun altında olmak üzere ikiye ayrılırlar. Renkler, beyaz, siyah, kahverengi, mavi ve samur ve bu renklerin herhangi bir kombinasyonu. Şu anda kahverengi tonları lehine bir his var, ancak yukarıda belirtilen tüm renklerin çok güzel örnekleri var. [Resim: KÜÇÜK POMERANYA ŞAMPİYONLARIN ŞAMPİYONU VE BAŞARILI "TINA"
BAYAN ADA DE PASS SAHİBİ.]

[Resim: AÇIK PAÇA PUG CH. "YORK". Bayan GRELICHE SAHİBİ.]

_Pug'lar._--Gerçekten eski moda evcil hayvanlardan ve arkadaşlardan biri olan Pug,
son otuz yıldır genellikle evimde birkaç örneğini bulunduruyorum ve genellikle, cinsi değerlendirdiğimde,
rekor girişleriyle öne çıkıyor. Bir keresinde, Londra'da önemli bir fuarda çok zor bir gün geçirdiğimi ve Haziran veya Temmuz ayında kavurucu bir günde açık havada çok fazla sıkıntı çektiğimi hatırlıyorum. Sergileyenlerin hepsi güzel cinsiyettendi ve kulübe dünyasının en üst seviyesinden, Galler Prensesi Majesteleri'nden, "işçi sınıfı" arasında yer almaktan utanmayacak olanlara kadar her şey vardı. "Bu işi oldukça sıcak karşılayacağım" diye düşündüm. Yaşayan herhangi bir "sıradan insanın", özellikle kendi evcil hayvanları söz konusu olduğunda, bu kadar çok sayıda diğer cinsiyeti memnun etmesinin mümkün olduğunu pek düşünmedim. Bu yüzden, birkaç hafta sonra Sayın'dan bir mektup almaktan kesinlikle memnun oldum. Sergi sekreteri (kızı bir sergiciydi ve Pug'larda kesinlikle acemi değildi), "herkesi memnun etme konusunda eşsiz bir başarıya ulaştığımı, çünkü komite tarafından Pug sergicilerinin büyük bir grubundan tek bir şikayet veya homurtu duyulmadığını veya alınmadığını" belirtti. Bunu kendimi yüceltmek için değil, genel olarak jürilerin hak etmedikleri hakaret ve kötü muameleyle karşılaşmaları beklenmesine rağmen, bazen dikkatlerine sunulan en iyi örnekleri seçme çabalarının nazikçe takdir edildiğini göstermek için söylüyorum! İyi bir Pug'ın, boyutuna orantılı büyük bir kafatası, iyi tanımlanmış bir stop, yüksek alın, kare yüz, geniş aralıklı gözler, koyu ve büyük, yuvarlak ve oldukça belirgin; ince, küçük kulaklar, öne doğru uzanmış, kafatasının ortasında siyah bir başparmak işareti olan bir arzu, maske ve kulaklar siyah olmalıdır. Baş ve yüzde yoğun kırışıklıklar; kaslı, kalın boyun, gevşek deri; kare, kalın, tıknaz gövde; derin bel; iyi yuvarlak kaburgalar; sırtta koyu renk iz çok
arzu edilir; ayrıca her yanakta koyu bir ben; kaslı arka kısımlar; sıkı
uyluklar; güçlü, kısa, düz ön bacaklar; iyi kemerli, sıkı, yuvarlak
ayaklar, mümkünse siyah ayak tırnakları; kalçalarda sıkıca kıvrılmış kuyruk,
çok arzu edilir; kuyruk hariç, daha uzun ve daha sert olan kürk parlak, yumuşak ve kısa olmalıdır. Çok zeki, gösterişli ve
aktif bir köpek, _genellikle tam bir korkak_, ancak halk üzerinde
iz bırakmayacak kadar büyük bir onur ve hatta vahşilik görünümüne sahip. Bu cins hakkındaki deneyimim, kural olarak, çok şefkatli ve sahiplerine bağlı, "iyiliksever" ve neredeyse her zaman yemek ve içmek konusunda her şeye hazır, konforu çok seven ve köpek topluluğunun diğer üyelerinin kendileri kadar çok sevilmesinden çok kıskanan köpekler olduklarıdır. Çok canlı, hareketli arkadaşlardır ve onları besleyenler arasında çok popülerdirler. Söylemeyi unuttum, renkler gümüş açık kahverengi ve kayısı açık kahverengi ve son yıllarda siyah bir çeşidi de var, uçları açık kahverengilerdekiyle aynı ama kısmen renk tarafından gizleniyor. Bence, kural olarak, siyahlar daha uzun bacaklı ve birçoğu açık kahverengilerden daha ağır ama her iki renkten de güzel örneklere
birçok kez sahip oldum ve _herhangi bir boyutta_ iyi bir tanesini severim,
ancak, gerçek Pug özelliklerini küçük bir tanede _alabiliyorsanız_, daha da iyi olur.

En iyi bilinenlerden ikisi bu çeşidi resmediyor.

[İllüstrasyon: BLACK PUG CH. & PREMIER "DUKE BEIRA". MISS C. F. A.
JENKINSON SAHİBİ.]

[İllüstrasyon: SCHIPPERCHE CH. "ZWARTE PIOT" I. N. WOODIWISS SAHİBİ.]

_Schipperkes._--Schipperke bu ülkede oldukça yeni bir türdür ve destekçileri tarafından evcil hayvan ve arkadaş olarak sıklıkla besleniyor. Sanırım,
aslen Belçika'dan ithal edilmişti, anladığım kadarıyla, orada pek çoğunu
gördüğümü hatırlamıyorum, uzun zamandır Bargee'ler tarafından kanallardaki uzun yolculuklarında teknelerinde kişileri ve malları için bir koruma olarak
kullanılıyor. Görünüş olarak, orta veya daha çok küçük boyda siyah bir Pomeranian'a benziyor, tüyleri dökülmüş ve kuyruğu yok, tüylerinin dokusu yoğun ve sert, kulaklarda yumuşak,
başında pürüzsüz, dizlerin ve ön bacakların önü, ancak bir yele veya fırfır oluşturuyor, yuvarlak boyun ve omuzlar; boyutu yirmi pound'u geçmemeli,
ve daha az olması daha da iyi; gözleri küçük, hafif oval ve koyu kahverengi; çok keskin küçük bekçi köpekleri yaparlar, her zaman hareket halindedirler ve yollarına çıkan her şeyin içini dışını bilmek isterler, çok heyecanlı ve canlı bir mizaca sahiptirler, ilki yelelerini kaldırarak, keskin bir şekilde havlayarak ve koşarak ve zıplayarak ifade edilir; genel bir kural olarak iyi ve av haşere öldürücülerdir.

BÖLÜM XIII

PERFORMANS VE OYUNCAK IRKLARI (_Devam_)

OYUNCAK SPANİELLER--KRAL CHARLES--PRENS CHARLES--BLENHEIM--RUBY--JAPON

[İllüstrasyon: KRAL CHARLES SPANİEL BÖLÜMÜ "ÖDÜLLÜ" BAYAN MCLAREN
MORRISON, SAHİP.]

Şimdi şüphesiz evcil hayvanlar ve yoldaşlar olan başka bir gruba geliyorum, yani Oyuncak Spaniel'lere ve onlar büyüleyici bir grup. Bunları, eski dostumuz Kral Charles'ı önce alarak, genel kabul görmüş sıralarına göre kısaca ele alacağım. Korkarım ki, "laudator temporis acti" ve eski kafalı, ancak katılaşmış "her yönüyle köpek sever" olarak düşünüleceğim, çünkü bir köpeğin bir ucunu diğerinden ayırt ettiğimden beri, şunu söylemeliyim ki, iyi bir "Kral Charles"ı çok seviyorum ve her zaman, büyük gösterilerde, onlarla hiçbir hukuki ilgim olmasa bile, onlar için derslere girdiğimden, bu güzel köpeklerin bu kadar az sayıda katılımını ve eleştirel bir hayranın "gözünü dolduracak" kadar azını görmek beni üzüyor. Şikayet ettiğim şey, boyut veya renkler değil, tüyleri, ki bunlar çok sık, kıvırcık, bence kötü bir kusur ve birçoğu "kirli" ve koyu tenli. Elbette
dikkat çekici istisnalar var, ancak son yıllarda her şekilde ve genel olarak ilgili taraflarca sıcak bir şekilde "zorlanan" diğer köpek ırklarının bazı Oyuncak Spaniel'lerin yetiştiricilerini hayal kırıklığına uğrattığından çok korkuyorum, aksi takdirde daha iyilerinin ortaya çıktığını görmeliyiz!
Irkın arzulanan özellikleri şunlardır: iyi tanımlanmış "durma" ile büyük yuvarlak kafatası, büyük, parlak gözler, kısa, yukarı kıvrık ağız, uzun sarkık kulaklar, iyi tüylü; oldukça uzun boyun, kısa ve kompakt sırt, kısa düz ön bacaklar, büyük ayaklar, yumuşak, bol tüy, oldukça düz, kıvrılma eğilimi yok, parlak renk, kesintisiz siyah ve zengin maun rengi. Ağırlığı on iki poundu geçmemeli, mümkün olduğunca az, kaliteli.

[İllüstrasyon: BLENHEIM SPANIEL. CH. "ROLLO" MRS. FORDER, SAHİP.]

_Blenheim Spaniel. _--Bu büyüleyici gruptan ele alınması gereken bir sonraki, sevgili annem ve annesinin en sevdiği cins olduğu için, diğerlerinden daha fazla ilişkilendirildiğim Blenheim Spaniel'dir; mükemmel bir numunenin noktaları, King Charles'takiyle neredeyse tamamen aynıdır, ancak renkler kırmızı ve beyazdır, ikincisinden daha fazladır ve kafatasının üst kısmında, "benek" olarak adlandırılan ve bu türün bilinen bir özelliği olan, yaklaşık bir şilin veya florin büyüklüğünde belirgin bir kırmızı işaret olması çok arzu edilir.

[İllüstrasyon: PRINCE CHARLES SPANIEL CH. "VICTOR WILD" H. TAYLOR
SAHİBİ.]

_Prens Charles Spaniel._--Başka bir türe Prens Charles denir ve bunun da noktaları yine Kral Charles'ınkiyle aynıdır, ancak rengi beyazdır ve bol miktarda siyah ve ten rengi işaretler vardır. Eşit şekilde işaretlendiğinde ve diğer şekillerde iyi biçimlendirildiğinde, çok çekici küçük adamlardır. Özellikle bu türlerde, örneklerin çok büyük olma eğilimi olduğunu fark ettim; bence, izin verilen maksimum ağırlığın (on iki pound) altında olmalılar, çünkü amaç, bir bayanın kaldırabileceği ve küçük arkadaşını, eğer isterse, dışarı çıktığında taşıyabileceği kadar ağır olmamalarıdır. Böylece, altı ila on pound daha uygun bir ağırlık olur ve bu, yerli Oyuncak Spaniel'lerin en hevesli rakiplerinden olan Yorkshire Terrier, Griffon, Pomeranian ve Japon Spaniel'lerinde görebileceğiniz ağırlıktır. Aslında bu çeşitlerin birçoğu beş poundun altında veya istenirse daha da az ağırlıkta elde edilebilir.

[İllüstrasyon: RUBY SPANIEL. CH. "JASPER" MRS. WOODGATE SAHİBİ.]

_Ruby Oyuncak Spaniel._--Bir diğer çok güzel çeşit ise Ruby Spaniel'dir, rengi daha büyük kuzeni Sussex Spaniel'in rengindedir,
ancak daha zengin ve daha parlak tonludur. Korkarım ki bunlar birkaç yıl önce olduğu kadar
çok yetiştirilmiyor, ancak tüm gerçek köpek severler, büyük güzellikleri ve
aristokrat görünümleri nedeniyle soylarının tükenmesinden pişmanlık duyarlar; doğru olmak gerekirse, renk tamamen beyazdan arınmış, mümkün olduğunca zengin ve parlak olmalı ve noktalar King Charles ile aynı olmalı ve diğer çeşitlerden daha fazla bunları etkileyen uzun bacaklılık olmamalıdır; Sanırım, Toy Spaniel'lerin yerel ırklarının çok fazla birbiriyle çiftleştirildiği konusunda pek şüphe yok ve yetiştiriciler bana bir
batımda dört ırkın da bir örneğine sahip olduklarını söylediler. Bunun doğruluğunu garanti edemem, çünkü kendi deneyimimde böyle bir şey olmadı, ancak doğruysa, ne kadar
birbirleriyle çiftleştirildikleri fikrini doğruluyor.

[İllüstrasyon: JAPON SPANIEL CH. "DAI BUTZU" BAYAN ADDIS SAHİBİ.]

_Japon Spaniel._-- Toy Spaniel ailesinin en son fark edileni Japon Spaniel'dir ve şu anda, bence, en çok popüler olanıdır ve yüksek rütbeli hanımlar ve daha mütevazı dostları tarafından
beslenmektedir. Renk açısından, en çok Prens Charlie'lere benzerler ve bazen, ama sık sık değil, neredeyse bir Blenheim'ın renklerine
benzerler. Çok yüksek veya kafatası kubbeli değiller, ancak hem baş hem de yüz olarak çok daha genişler, çok kısa burunları, oldukça büyük, sarkık kulakları, büyük, koyu, dolu gözleri, bacakları oldukça kısa, vücudu tıknaz ve kuyruğu arkaya doğru kıvrılmış, Malta Teriyeri'ne benzer bir şey. Yavruyken bile çok tuhaf, eski moda bir görünümleri var ve bu ülkede yetiştirilmedikleri veya iklime alışana kadar kesinlikle narinler ve ithal edilen örnekler arasındaki ölüm oranı çok yüksek. Bu cinsten herhangi birini besleyeli epey oldu ve o zamanlar, şu anda sergilerimizde görünenlerden daha büyük örnekler revaçtaydı; ancak şüphesiz, hanımların evcil hayvanları olarak, sekiz veya dokuz poundu geçmeyen daha iyiler. Bu güzel küçük yaratıkların son yıllarda nasıl ortaya çıktığını kanıtlamak için, Londra'daki büyük bir gösteride bulunduğumu söyleyebilirim. Orada, tanınmış bir kadın sergici olan bir arkadaşımın Japon Spaniel cinsi köpeği, o gösteride şampiyonluk ödülü almış her türden köpeğin yer aldığı bir sınıfta "Şampiyonların Şampiyonu" olarak birincilik ödülünü (kazanan kişinin saklanmış olabileceği yetmiş gine değerindeki gümüş bir kupa!) aldı ve memnun sahibi, gösteride sergileyen ve hepimizin bildiği gibi genel olarak köpeklere hayran olan Galler Prensesi H. R. H.'den muhteşem ödülü alma onuruna erişti.

Bu güzel örneğin portresi bu çeşitliliği göstermektedir.

BÖLÜM XIV

PERFORMANS VE OYUNCAK IRKLARI (_Devam_)

OYUNCAK TERRİERLER--PÜRÜZSÜZ SİYAH VE TEN--YORKSHIRE--MALTESE--GRİFFONLAR
BRÜKSEL

[İllüstrasyon: OYUNCAK TERRİER. BÖLÜM "MASCOTTE MODEL" Bayan MONK SAHİBİ.]

Bunları yukarıdaki sırayla ele almak için, her biri hakkında birkaç söz söylemeyi öneriyorum. Gerçekten birinci sınıf Oyuncak Siyah ve Ten örneklerinin az ve aralarında çok mesafe olduğunu söylemekten üzüntü duyuyorum, doğru boyutta ve renkte çok sayıda var, ancak, birçoğunun kafasında başarısız oluyor, bu da minyatürde gerçek bir "Manchester" tipi teriyerinki gibi olmalı, ancak çoğunluğu çok
yuvarlak ve kafatasında kısa ve ırkların diğer "noktaları" aynı. İyi bir örneğin güzel bir küçük yaratık ve bir hanım için büyüleyici bir evcil hayvan olduğunu ve çok akıllı ve gösterişli olduğunu söylememe gerek yok. Kırpmaya karşı verilen kararın onlar ve daha büyük kardeşleri üzerinde olumsuz bir etkisi olduğundan ve doğuştan sahip oldukları kulakları takmak zorunda kalmanın "kırpıcı"nın becerisinin görünümlerini iyileştirmesine hiçbir şans vermediğinden ve cinsin çoğunun "Yarasa" veya "Lale" olarak bilinen, boyutlarına göre orantısız görünen kulaklara sahip olduğundan şüphem yok. Yetiştiricilerin (Manchester'larda olduğu gibi) daha fazla sayıda küçük sarkık kulaklı, ortodoks tipte örnek üretmede başarılı olmalarını umuyorum, şüphesiz bu biraz ihmal edilmiş türe olan ilgi yeniden canlanacaktır. Yıllardır görülen en iyi örneklerden biri bu türü göstermektedir. Bazen, minyatürde az çok iyi Beyaz İngiliz Pürüzsüz Teriyeri örnekleri
görülür ve noktalar doğru olduğunda, çok güzeldirler.

[İllüstrasyon: YORKSHIRE TERRİERİ. CH. "ASHTON QUEEN" Mdes WALTON &
BEARD OWNERS].

_Yorkshire Oyuncak Teriyeri._--Şimdi, kadınların evcil hayvanları olarak çok uygun olan, çok güzel bir
köpek türünden bahsedeceğim. Yorkshire Teriyerleri,
bazen üç pound'u geçmeyen ağırlıkta, sırt ve yanlarda koyu mavi renkte, ayrıca başın bir kısmında, geri kalanında altın rengi; formdayken,
tüyleri yere kadar uzanır ve yumuşak ve parlak dokudadır ve
renklidir; Elbette, böyle bir cins, biraz özen ve zahmet olmadan "işe uygun" tutulamaz, ancak doğru formda üretilmiş iyi bir örnek, "oldukça güzel bir resim"dir ve özellikle adil cinsiyet arasında her miktarda hayranlığı uyandırır ve gerçekten en iyiler için, arkadaş olarak tutulmak üzere 5 ila 250 L arasında bir meblağın ödendiğini gördüm, ki bu onlar için çok uygundur ve kendi deneyimimden, onların şefkatli ve ilgi çekici niteliklerine tanıklık edebilirim. Elbette, tüyleri makul bir uzunlukta tutulmalı, sıklıkla fırçalanmalı ve esasen iç mekanlar için bir tür olduklarından, bir kulübe için uygun sakinler olmazlar.

Yaşayan en iyi örnek bu çeşidi gösterir.

[İllüstrasyon: MALTESE TERRIER. CH. "PIXIE". J. JACOBS SAHİBİ.]

_Maltese Terrier'ler._--Evcil Köpeklerden bir diğeri de, yıllardır övgülerini söylediğim sevimli küçük Maltese Terrier'dir ve
yavaş yavaş tekrar popüler olmaya başladıklarını görmek beni çok mutlu ediyor.
Yıllar önce merhum Lady Giffard tarafından gösterilen Takımı hatırlayan okuyucularım, sanırım, daha güzel bir sürü hanımın evcil köpeğinin görülemeyeceği fikrimi doğrulayacaktır. Irkla tanışmamış olanlar için, çok küçük, sarkık kulaklı Skye Terrier'lere benzediklerini söyleyebilirim, saf beyaz uzun tüyleri, genellikle yeri süpürür ve neredeyse ipeksi bir dokuya sahiptir, üzerlerine kıvrılmış kısa sırtları ve kuyrukları, koyu, delici gözleri ve siyah burunları vardır. Çok zeki, mantar gibi küçük adamlardır. Onlara büyük hayranlık duyuyorum ve son birkaç yıldır onlara olan ilgiyi yeniden canlandırmak için elimden geleni yaptım ve onlara uygun sınıflar ve jüriler sağlayan şovlarda daha iyi katılımlar görmekten mutluluk duyuyorum. Bunun, eski Yunanlı hanımlar ve o tarihi dönemin diğer ulusları tarafından çok değerli olduğu düşünülen en eski Oyuncak ırklarından biri olduğu düşünülmektedir. Baş, minyatür bir sarkık kulaklı Skye'ınkine çok benzemelidir. Uzun, düz ve ipeksi, genellikle yeri süpürür,
kıvrım veya yünlülükten oldukça uzaktır. Burun ve damak siyah, kulaklar orta derecede uzun, iyi tüylü, boyunda karışık tüyler. Kuyruk kısa,
iyi tüylü ve sırta sıkıca kıvrılmış. Renk, saf beyaz,
işaretsiz veya başka bir rengin tonları bile yok. Ağırlığı beş ila altı
libre, ne kadar küçükse o kadar iyi, diğer noktalar eşit.

Eski dostum, Malta'nın en iyi bilinen yetiştiricisi Bay J. Jacobs'un nezaketi sayesinde, onun güzel küçük
şampiyonunun bir portresini çizebildim.

[İllüstrasyon: GRIFFON BRUXELLES "MARQUIS DE CARABAS" COUNT DE BYLANDT
SAHİBİ.]

_Griffons Bruxelles._--Evcil hayvan ve arkadaş olarak uygun olan ve son birkaç yıldır çok fazla "patlama" yaşayan tüm ırkların en yenilerinden biri, yukarıda adı geçen, bir yerde Yorkshire Oyuncak Teriyeri'nin boyutu ve biraz şekli, eğer uzun ipeksi bir
tüy yerine kısa sert bir tüyle ve mümkün olduğunca belirgin bir çeneyle, dişleri göstermeden, aslında "alt çeneli"; yuvarlak
neredeyse siyah gözler; kirpikler ve göz kapakları koyu, kısa siyah burun, etrafında ve gözlerde kıllar; dik kulaklar ok gibi yukarı doğru taşınır, ayaklar
uzun; kuyruk oldukça kısa kesilmiş; baş yuvarlak ve sert tüylerle kaplı, yünlü veya ipeksi değil; daha uzun yuvarlak gözler, burun, dudaklar (üzerinde bir "bıyık" olması gerekir) ve yanaklar; renk tercih edilir, kestane
kırmızı, tel gibi sert ve bol tüylü, ancak uzun değil. Daha büyük
çeşit için ağırlık en fazla dokuz pound; daha küçük için en fazla beş pound. Bunlar
yapısı tıknaz, aktif, zeki, dayanıklı küçük arkadaşlar, çok
tuhaf, komik ve kendi tarzlarında kendini beğenmiş, bu da onları
genel olarak köpeklere pek ilgi duymayan kişiler için bile çekici kılıyor;
şimdi çok fazla öne çıkıyorlar ve kendi kulüpleri var, bu yüzden "tutmaları" denilen şeyi yapmaları muhtemel görünüyor!

Bu çeşidin tanınmış yargıç Kont H. de Bylandt'a ait olan görkemli küçük bir örneğinin portresini aldım.

BÖLÜM XV

PERFORMANS VE OYUNCAK IRKLARI (_Devam_)

OYUNCAK BOĞA KÖPEKLERİ--OYUNCAK BOĞA TERRİERLERİ--İTALYAN TAZILARI

[İllüstrasyon: OYUNCAK BULLDOG "RABOT DE BEAUBOURG" M. PETIT SAHİBİ.]

_Oyuncak Boğa Köpekleri._--Son zamanlarda çok ilgi görüyorlar ve garip görünse de, eski bir İngiliz ırkının bir dalı veya minyatür çeşidi olmasına rağmen,
şu ana kadar şovlarda görülen en iyilerin çoğu
